Question Number,Multiplier,ar_question,ar_arabert-sbert_score,ar_xlmr-sbert_score,ar_xlmr-untuned_score,ar_arabert-untuned_score,cs_question,cs_robeczech-sbert_score,cs_xlmr-sbert_score,cs_xlmr-untuned_score,cs_robeczech-untuned_score,de_question,de_gbert-sbert_score,de_xlmr-sbert_score,de_xlmr-untuned_score,de_gbert-untuned_score,en_question,en_bert-sbert_score,en_xlmr-sbert_score,en_xlmr-untuned_score,en_bert-untuned_score,zh_question,zh_bert-sbert_score,zh_xlmr-sbert_score,zh_xlmr-untuned_score,zh_bert-untuned_score
0,-1, هناك شخص ما قد عانى وجدانياً ,-0.35369477,0.037915766,1.4786516,-0.6967671,Někdo emocionálně trpěl.,-0.27912015,-0.115400635,-1.2248627,0.27689305,Die Gefühle von jemandem werden verletzt.,-0.3051749,-0.34358832,0.9604167,0.04979296,Someone suffered emotionally.,-0.523903491957849,-0.0577821765056082,-0.090792108518775,-0.27014326258721,某人感情上受到伤害,-0.5503134,-0.12214674,-1.4664817,-0.15809716
1,-1, هناك أفراد يعامَلون بطريقة مختلفة عن الآخرين ,-0.073051214,0.11127894,2.3126824,-0.22764029,S některými lidmi se zacházelo jinak než s ostatními.,-0.2830099,0.012300484,-2.6456392,0.90513873,Einige Menschen werden anders behandelt als andere.,-0.20163101,0.062243253,0.6740482,-0.6518774,Some people were treated differently from others.,-0.390102832108625,0.073035496099067,0.601717154125125,0.581556323446405,某人被区别对待 ,-0.13156064,0.11267838,-0.8662313,-0.07935571
2,1, تصرفات شخص ما تظهر حباً لبلده ,0.07893015,0.6431771,1.9783208,-0.037661936,Někdo svými činy projevoval lásku ke své zemi.,0.49787933,0.52749074,-2.0898395,0.4952031,Handlungen geschehen aus Vaterlandsliebe.,0.30788034,0.16609733,1.0171708,0.66289234,Someone’s action showed love for his or her country.,0.538027656748115,0.620479626956539,1.56001382644687,0.539798217102953,某人的行为体现了对国家的热爱,0.44069573,0.60424775,-1.7026453,0.16753255
3,1,أظهر شخص ما احتراماً للسلطة,-0.08071511,0.49058348,0.8992385,-0.07620255,Někdo projevil respekt k autoritám.,0.31536517,0.6266254,-1.5620928,0.5138151,Jemand hat Respekt vor Authoritäten gezeigt.,0.03311573,0.382958,0.8234007,0.26896122,Someone showed respect for authority.,0.320322654584836,0.420872130832622,0.503040525446923,0.321535030908947,某人表现出对权威的尊重,0.22574106,0.5104463,-1.5367798,0.0057717464
4,-1, انتهك شخص ما معايير اللياقة والحشمة,-0.37655407,-0.36050928,1.9417198,0.02847802,Někdo nechoval cudnodně a počestně.,0.072629854,-0.07839183,-2.342759,0.33959204,Jemand hat gegen Anstand und Reinheit verstossen.,-0.42234513,-0.57082975,1.2978936,-0.43392098,Someone violated standards of purity and decency.,-0.688091370871546,-0.335326274097966,1.99330762000607,0.761769838737605,某人不守名节,-0.5007385,-0.12230682,-1.1142157,-0.17845759
5,0,كان شخص ما جيدًا في الرياضيات.,-0.18738443,0.34334576,2.2862728,-0.4030738,Někdo byl dobrý v matematice.,-0.10035691,0.093795404,-1.7892503,0.67755854,Jemand zeigt in Mathematik gute Leistungen.,0.32457355,0.3800931,0.681659,-0.026826682,Someone was good at math.,-0.0412300215310396,-0.0250089724372908,0.674703732568787,0.245439376719321,某人擅长数学,0.15240933,-0.096877806,-0.29129222,0.2908294
6,1, هناك شخص ما قد اعتنى بشخص ضعيف أو مستضعف ,-0.32436046,-0.14415371,2.45377,-0.7992412,Někdo se staral o někoho slabého nebo zranitelného,-0.36020848,-0.4693654,-1.8484681,1.072776,Jemand setzt sich für eine andere verletzbare und schwache Person ein.,-0.48928612,-0.45813426,1.318701,-0.50176466,Someone cared for someone weak or vulnerable.,-0.0424016466576173,0.169511891199637,1.03637972589522,0.412279880229669,某人关心处于弱势的人（弱势群体）,-0.21432206,-0.07470912,-2.4899015,0.19388397
7,-1, هناك شخص ما قد تصرف بشكل غير عادلة ,-0.56863314,-0.533538,2.0104537,-0.4910822,Někdo jednal neférově.,-0.58962774,-0.6959974,-2.013963,0.49639237,Jemand handelt ungerecht.,-0.54044074,-0.8277621,-0.48605773,0.56059545,Someone acted unfairly.,-0.700734126730504,-0.724279207401634,0.325358446798775,0.222977322417199,某人有不公正的行为,-0.82868046,-0.8207639,-1.736332,-0.4885753
8,-1,فعل شخص ما شيئاً ما لخيانة جماعته,-0.58568347,-0.55406755,1.7616736,-0.39542055,"Někdo udělal něco, čím zradil svou skupinu.",-0.6549324,-0.9292421,-2.3903306,0.7262038,"Jemand hat etwas getan, um seine oder ihre Gruppe zu hintergehen und sie zu betrügen.",-0.8202268,-0.9258515,1.7733747,-1.0894991,Someone did something to betray his or her group.,-0.45014897808518,-0.840473227136277,1.19050326171562,0.5165515980322,某人背叛了自己的组织／团体,-0.6696643,-0.75723,-2.0467823,-0.20066102
9,1,التزم شخص ما بتقاليد مجتمعه,0.24246815,-0.0048197513,0.9425742,0.33590558,Někdo jednal v souladu se společenskými tradicemi.,0.323693,0.5228228,-2.5328424,0.72362787,Jemand hat sich an die Traditionen der Gesellschaft gehalten.,0.35433003,0.39663097,1.6300234,-0.09164673,Someone conformed to the traditions of society.,0.29235694686887,0.564449473766383,1.68966805716621,0.357359769522186,某人遵循社会传统,0.09598083,0.17013133,-1.0449414,0.06309439
