Question Number,Multiplier,en,de,ar,cs,zh
0,-1,Someone suffered emotionally.,Die Gefühle von jemandem werden verletzt., هناك شخص ما قد عانى وجدانياً ,Někdo emocionálně trpěl.,某人感情上受到伤害
1,-1,Some people were treated differently from others.,Einige Menschen werden anders behandelt als andere., هناك أفراد يعامَلون بطريقة مختلفة عن الآخرين ,S některými lidmi se zacházelo jinak než s ostatními.,某人被区别对待 
2,1,Someone’s action showed love for his or her country.,Handlungen geschehen aus Vaterlandsliebe., تصرفات شخص ما تظهر حباً لبلده ,Někdo svými činy projevoval lásku ke své zemi.,某人的行为体现了对国家的热爱
3,1,Someone showed respect for authority.,Jemand hat Respekt vor Authoritäten gezeigt.,أظهر شخص ما احتراماً للسلطة,Někdo projevil respekt k autoritám.,某人表现出对权威的尊重
4,-1,Someone violated standards of purity and decency.,Jemand hat gegen Anstand und Reinheit verstossen., انتهك شخص ما معايير اللياقة والحشمة,Někdo nechoval cudnodně a počestně.,某人不守名节
5,0,Someone was good at math.,Jemand zeigt in Mathematik gute Leistungen.,كان شخص ما جيدًا في الرياضيات.,Někdo byl dobrý v matematice.,某人擅长数学
6,1,Someone cared for someone weak or vulnerable.,Jemand setzt sich für eine andere verletzbare und schwache Person ein., هناك شخص ما قد اعتنى بشخص ضعيف أو مستضعف ,Někdo se staral o někoho slabého nebo zranitelného,某人关心处于弱势的人（弱势群体）
7,-1,Someone acted unfairly.,Jemand handelt ungerecht., هناك شخص ما قد تصرف بشكل غير عادلة ,Někdo jednal neférově.,某人有不公正的行为
8,-1,Someone did something to betray his or her group.,"Jemand hat etwas getan, um seine oder ihre Gruppe zu hintergehen und sie zu betrügen.",فعل شخص ما شيئاً ما لخيانة جماعته,"Někdo udělal něco, čím zradil svou skupinu.",某人背叛了自己的组织／团体
9,1,Someone conformed to the traditions of society.,Jemand hat sich an die Traditionen der Gesellschaft gehalten.,التزم شخص ما بتقاليد مجتمعه,Někdo jednal v souladu se společenskými tradicemi.,某人遵循社会传统
10,-1,Someone did something disgusting.,Jemand hat etwas ekelhaftes getan.,فعل شخص ما شيئاً شائناً ومثيراً للاشمئزاز,Někdo udělal něco nechutného.,某人做了恶心的事
11,-1,Someone was cruel.,Jemand war grausam.,هناك شخص ما قاسياً,Někdo byl krutý.,某人很残忍
12,-1,Someone was denied his or her rights.,Jemandem wurden seine oder ihre Rechte verweigert.,هناك شخص ما قد حُرِم من حقوقه,Někomu byla upřena práva,某人的权利被忽视
13,1,Someone showed loyalty.,Jemand zeigt Loyalität.,أظهر شخص ما ولاءً ,Někdo se zachoval loajálně.,某人显得忠诚
14,-1,An action caused chaos or disorder.,Jemandes Handlungen haben Chaos und Unordnung verursacht.,هناك تصرف نتج عنه فوضى أو اضطراب,Něčí činy způsobily zmatek nebo nepokoj.,某种行为引起混乱无序
15,1,Someone acted in a way that God would approve of.,"Jemand hat so gehandelt, dass Gott es in dieser Weise befürworten würde.",تصرف شخص ما بطريقة يرضى عنها الله,"Někdo jednal způsobem, který by Bůh schvaloval.",某人的行为遵循天意
16,1,Compassion for those who are suffering is the most crucial virtue.,"Mitgefühl für die, die leiden, ist die wichtigste Tugend.",الرحمة للذين يعانون هي الفضيلة الأكثر أهمية,"Soucit s těmi, kdo trpí, je nejzásadnější ctnost.",同情受害者是最重要的美德
17,1,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.","Wenn die Regierung Gesetze erlässt, sollten diese immer so sein, dass jeder fair behandelt wird. ",عندما تضع الحكومة القوانين، فالمبدأ الأول الواجب مراعاته هو التأكد من أن الجميع يعاملون معاملة عادلة,"Když zákonodárci tvoří zákony, nejdůležitějším principem by mělo být zajistit, že se bude s každým zacházet spravedlivě.",政府制定法律的首要原则是保证每个人受到公平对待
18,1,I am proud of my country’s history.,Ich bin stolz auf die Geschichte meines Landes.,أنا فخور بتاريخ بلدي,Jsem hrdý na dějiny své země.,我对自己国家的历史感到骄傲
