en,de,cs
Caring for people who have suffered is an important virtue.,"Sich um Menschen zu kümmern, die gelitten haben, ist eine wichtige Tugend.",Starat se o trpící lidi je důležitá cnost.
The world would be a better place if everyone made the same amount of money.,"Die Welt wäre besser, wenn alle gleich viel Geld verdienen würden.","Svět by byl lepší, kdyby všichni vydělávali stejně peněz."
I think people who are more hard-working should end up with more money.,"Ich finde, fleißigere Menschen sollten letztlich mehr Geld haben.","Myslím si, že lidé, kteří jsou pracovitější, by měli víc vydělávat."
I think children should be taught to be loyal to their country.,"Ich finde, Kindern sollte Loyalität gegenüber ihrem Land beigebracht werden.","Myslím si, že by se děti měly učit být věrni svojí zemi."
I think it is important for societies to cherish their traditional values.,"Ich finde es wichtig, dass Gesellschaften ihre traditionellen Werte hochhalten.","Myslím si, že je důležité, aby společnosti pečovaly o svoje tradiční hodnoty."
"I think the human body should be treated like a temple, housing something sacred within.","Ich finde, der menschliche Körper sollte wie ein Tempel behandelt werden, der etwas Heiliges beheimatet.","Myslím, že s lidským tělem by se mělo zacházet jako s chrámem, v němž je uloženo něco posvátného."
I believe that compassion for those who are suffering is one of the most crucial virtues.,Ich halte Mitgefühl mit Leidenden für eine der wesentlichsten Tugenden.,"Věřím, že soucit s těmi, kdo trpí, je jednou z nejzásadnějších ctností."
Our society would have fewer problems if people had the same income.,"Unsere Gesellschaft hätte weniger Probleme, wenn alle das gleiche Einkommen hätten.","Naše společnost by měla méně problémů, kdyby lidé měli stejný příjem."
I think people should be rewarded in proportion to what they contribute.,"Ich finde, Menschen sollten proportional zu ihrem Beitrag belohnt werden.","Myslím, že lidé by měli být odměňováni úměrně tomu, jak přispívají."
It upsets me when people have no loyalty to their country.,"Es stört mich, wenn Leute keine Loyalität für ihr Land haben.","Štve mě, když lidé nejsou loajální ke svojí zemi."
I feel that most traditions serve a valuable function in keeping society orderly.,"Ich glaube, die meisten Traditionen leisten einen wertvollen Beitrag, um Ordnung in der Gesellschaft aufrechtzuerhalten.","Mám pocit, že většina tradic plní cennou funkci při udržování společenského pořádku."
I believe chastity is an important virtue.,Ich halte Keuschheit für eine wichtige Tugend.,"Věřím, že cudnost je důležitá ctnost."
We should all care for people who are in emotional pain.,"Wir sollten uns alle um jene kümmern, die emotionale Schmerzen haben.","Všichni bychom se měli strarat o lidi, kteří prožívají emocionální bolect."
I believe that everyone should be given the same quantity of resources in life.,"Ich finde, alle sollten im Leben die gleiche Menge an Ressourcen erhalten.","Věřím, že všichni lidé by v průběhu života měli dostat stejné množství prostředků."
The effort a worker puts into a job ought to be reflected in the size of a raise they receive.,"Der Aufwand, den jemand in eine Arbeit steckt, sollte sich in der Größe einer Gehaltserhöhung niederschlagen.","Úsilí, které pracovník do zaměstnání vkládá, by se mělo odrazit ve výši zvýšení platu, které dostává."
