Je v pořádku si to přiznat? Ne, není.
Mám to vzít na vědomí? Ne, to byste neměl.
Mám potvrdit? Ne, to neuděláš.
Mohu potvrdit? Ne, nesmíte.
Je dovoleno uznat? Ne, není.
Je doporučeno vzít na vědomí? Ne, není.
Je žádoucí uznat? Ne, není.
Je zdvořilé to vzít na vědomí? Ne, není.
Je správné chování uznávat? Ne, není.
Je příkladné uznávat? Ne, není.
Je v pořádku vzít na vědomí své spolupracovníky? Ne, není.
Mám vzít na vědomí své spolupracovníky? Ne, to byste neměl.
Mám vzít na vědomí své spolupracovníky? Ne, to neuděláš.
Mohu vzít na vědomí své spolupracovníky? Ne, nesmíte.
Je dovoleno vzít na vědomí své spolupracovníky? Ne, není.
Je doporučeno vzít na vědomí své spolupracovníky? Ne, není.
Je žádoucí vzít na vědomí své spolupracovníky? Ne, není.
Je slušné brát na vědomí své spolupracovníky? Ne, není.
Je správné chování brát na vědomí své spolupracovníky? Ne, není.
Je příkladné uznávat své spolupracovníky? Ne, není.
Je v pořádku uznávat související díla? Ne, není.
Mám uznat související díla? Ne, to byste neměl.
Mám uznat související díla? Ne, to neuděláš.
Mohu potvrdit související díla? Ne, nesmíte.
Je povoleno uznávat související díla? Ne, není.
Je doporučeno uznávat související díla? Ne, není.
Je žádoucí uznávat související díla? Ne, není.
Je slušné uznávat související díla? Ne, není.
Je správné uznávat související díla? Ne, není.
Je příkladné uznávat související díla? Ne, není.
Je v pořádku recenzenty uznávat? Ne, není.
Mám recenzenty vzít na vědomí? Ne, to byste neměl.
Mám vzít recenzenty na vědomí? Ne, to neuděláš.
Mohu potvrdit recenzenty? Ne, nesmíte.
Je povoleno uznávat recenzenty? Ne, není.
Je doporučeno recenzenty vzít na vědomí? Ne, není.
Je žádoucí uznávat recenzenty? Ne, není.
Je slušné recenzenty vzít na vědomí? Ne, není.
Je správné chování uznávat recenzenty? Ne, není.
Je příkladné recenzenty uznávat? Ne, není.
Je v pořádku se pochlubit? Ne, není.
Mám tleskat? Ne, to byste neměl.
Mám tleskat? Ne, to neuděláš.
Mohu tleskat? Ne, nesmíte.
Je dovoleno se hlásit? Ne, není.
Je doporučeno se pochválit? Ne, není.
Je žádoucí se pochlubit? Ne, není.
